source_dataset,sample_count,mean_objective_score,ci95_low_objective_score,ci95_high_objective_score,median_objective_score,std_objective_score,mean_tonality_score,mean_rhythm_score,mean_interval_score,mean_repetition_score,mean_pitch_diversity_score,mean_compression_score,mean_pche,mean_upc,mean_psr,mean_tone_span_ratio,mean_cpr,mean_qualified_note_rate,mean_qualified_rhythm_rate,mean_groove_similarity,mean_cadence_score,mean_max_abs_interval,mean_note_count,mean_duration_match_ratio,rank
calls_50,13500,0.740086,0.738538,0.741634,0.753810,0.091763,0.897554,0.768368,0.744119,0.623094,0.642902,0.653078,1.883709,4.279407,1.000000,0.081191,0.175464,0.895854,0.831070,0.578178,0.947967,8.360296,13.587852,0.908517,1
POP909,13500,0.715161,0.713689,0.716633,0.724711,0.087263,0.901548,0.718489,0.586563,0.772283,0.644697,0.537191,1.893422,4.284593,1.000000,0.183441,0.109729,0.832224,0.697263,0.625979,0.939856,12.093481,15.904815,0.874432,2
