ablation_variant,ci95_high_cadence_score,ci95_high_compression_score,ci95_high_cpr,ci95_high_duration_error_sec,ci95_high_duration_match_ratio,ci95_high_interval_score,ci95_high_longest_repeat_run,ci95_high_objective_score,ci95_high_pitch_diversity_score,ci95_high_psr,ci95_high_qualified_note_rate,ci95_high_qualified_rhythm_rate,ci95_high_repetition_score,ci95_high_rhythm_score,ci95_high_strong_beat_stable_rate,ci95_high_tonality_score,ci95_low_cadence_score,ci95_low_compression_score,ci95_low_cpr,ci95_low_duration_error_sec,ci95_low_duration_match_ratio,ci95_low_interval_score,ci95_low_longest_repeat_run,ci95_low_objective_score,ci95_low_pitch_diversity_score,ci95_low_psr,ci95_low_qualified_note_rate,ci95_low_qualified_rhythm_rate,ci95_low_repetition_score,ci95_low_rhythm_score,ci95_low_strong_beat_stable_rate,ci95_low_tonality_score,mean_cadence_score,mean_compression_score,mean_cpr,mean_duration_error_sec,mean_duration_match_ratio,mean_interval_score,mean_longest_repeat_run,mean_objective_score,mean_pitch_diversity_score,mean_psr,mean_qualified_note_rate,mean_qualified_rhythm_rate,mean_repetition_score,mean_rhythm_score,mean_strong_beat_stable_rate,mean_tonality_score,preset,rank,sample_count,variant_short
A6_full_controlled,0.997710,0.712908,0.132225,0.339238,0.938687,0.576029,1.784052,0.711637,0.570898,1.000000,0.879463,0.703774,0.748992,0.720780,0.713260,0.902918,0.992956,0.688426,0.118350,0.315289,0.934163,0.554157,1.711948,0.702391,0.537919,1.000000,0.860286,0.675654,0.719790,0.709987,0.669737,0.888303,0.995333,0.700667,0.125287,0.327263,0.936425,0.565093,1.748000,0.707014,0.554409,1.000000,0.869875,0.689714,0.734391,0.715384,0.691498,0.895611,pentatonic_creative_wide,11,1500,A6
A5_style_constraint,0.744106,0.696921,0.121488,0.784373,0.854246,0.579936,1.678875,0.702949,0.619208,1.000000,0.873135,0.677207,0.777980,0.731080,0.687100,0.807862,0.721827,0.670414,0.107158,0.716277,0.839988,0.556108,1.609125,0.693436,0.588847,1.000000,0.851790,0.647054,0.749247,0.718607,0.643453,0.790966,0.732967,0.683667,0.114323,0.750325,0.847117,0.568022,1.644000,0.698193,0.604028,1.000000,0.862462,0.662130,0.763614,0.724843,0.665276,0.799414,pentatonic_creative_wide,12,1500,A5
A3_duration_matching,0.405503,0.681206,0.049687,0.919622,0.834854,0.724473,1.313119,0.654221,0.493805,0.554261,0.872943,0.683033,0.918328,0.737677,0.402605,0.449829,0.366497,0.657030,0.040907,0.853834,0.821729,0.696451,1.266881,0.643824,0.460334,0.526196,0.846057,0.645889,0.901283,0.722339,0.359495,0.421690,0.386000,0.669118,0.045297,0.886728,0.828291,0.710462,1.290000,0.649022,0.477070,0.540228,0.859500,0.664461,0.909805,0.730008,0.381050,0.435759,pentatonic_low_temp_no_strongbeat,13,1500,A3
A4_fallback,0.405503,0.681206,0.049687,0.919622,0.834854,0.724473,1.313119,0.654221,0.493805,0.554261,0.872943,0.683033,0.918328,0.737677,0.402605,0.449829,0.366497,0.657030,0.040907,0.853834,0.821729,0.696451,1.266881,0.643824,0.460334,0.526196,0.846057,0.645889,0.901283,0.722339,0.359495,0.421690,0.386000,0.669118,0.045297,0.886728,0.828291,0.710462,1.290000,0.649022,0.477070,0.540228,0.859500,0.664461,0.909805,0.730008,0.381050,0.435759,pentatonic_low_temp_no_strongbeat,14,1500,A4
A3_duration_matching,0.412638,0.673954,0.049192,0.914422,0.835377,0.720282,1.310611,0.652969,0.489043,0.563726,0.873713,0.694699,0.917820,0.742587,0.386174,0.449865,0.373562,0.650193,0.040849,0.848228,0.822061,0.692067,1.264055,0.642810,0.455914,0.535919,0.847134,0.658208,0.901030,0.727484,0.343672,0.422032,0.393100,0.662074,0.045021,0.881325,0.828719,0.706175,1.287333,0.647890,0.472478,0.549823,0.860423,0.676454,0.909425,0.735035,0.364923,0.435948,pentatonic_conservative,15,1500,A3
A4_fallback,0.412638,0.673954,0.049192,0.914422,0.835377,0.720282,1.310611,0.652969,0.489043,0.563726,0.873713,0.694699,0.917820,0.742587,0.386174,0.449865,0.373562,0.650193,0.040849,0.848228,0.822061,0.692067,1.264055,0.642810,0.455914,0.535919,0.847134,0.658208,0.901030,0.727484,0.343672,0.422032,0.393100,0.662074,0.045021,0.881325,0.828719,0.706175,1.287333,0.647890,0.472478,0.549823,0.860423,0.676454,0.909425,0.735035,0.364923,0.435948,pentatonic_conservative,16,1500,A4
A3_duration_matching,0.406423,0.684035,0.055291,0.914386,0.836829,0.709979,1.327359,0.651326,0.494013,0.549319,0.885503,0.675841,0.911179,0.743851,0.396476,0.446418,0.367110,0.659912,0.045185,0.846726,0.823492,0.682955,1.280641,0.640897,0.460826,0.520749,0.862194,0.640251,0.892935,0.728926,0.353693,0.418172,0.386767,0.671973,0.050238,0.880556,0.830161,0.696467,1.304000,0.646112,0.477419,0.535034,0.873849,0.658046,0.902057,0.736389,0.375084,0.432295,pentatonic_balanced,17,1500,A3
A4_fallback,0.406423,0.684035,0.055291,0.914386,0.836829,0.709979,1.327359,0.651326,0.494013,0.549319,0.885503,0.675841,0.911179,0.743851,0.396476,0.446418,0.367110,0.659912,0.045185,0.846726,0.823492,0.682955,1.280641,0.640897,0.460826,0.520749,0.862194,0.640251,0.892935,0.728926,0.353693,0.418172,0.386767,0.671973,0.050238,0.880556,0.830161,0.696467,1.304000,0.646112,0.477419,0.535034,0.873849,0.658046,0.902057,0.736389,0.375084,0.432295,pentatonic_balanced,18,1500,A4
A3_duration_matching,0.401381,0.692156,0.057716,0.939485,0.832128,0.679378,1.336135,0.646721,0.495553,0.555078,0.869380,0.697789,0.910414,0.745683,0.389070,0.443965,0.361686,0.667011,0.046528,0.868886,0.818254,0.652564,1.289198,0.636187,0.462561,0.526935,0.846005,0.665254,0.891765,0.731863,0.346495,0.416250,0.381533,0.679583,0.052122,0.904185,0.825191,0.665971,1.312667,0.641454,0.479057,0.541007,0.857693,0.681522,0.901090,0.738773,0.367783,0.430108,pentatonic_no_theory,19,1500,A3
A4_fallback,0.401381,0.692156,0.057716,0.939485,0.832128,0.679378,1.336135,0.646721,0.495553,0.555078,0.869380,0.697789,0.910414,0.745683,0.389070,0.443965,0.361686,0.667011,0.046528,0.868886,0.818254,0.652564,1.289198,0.636187,0.462561,0.526935,0.846005,0.665254,0.891765,0.731863,0.346495,0.416250,0.381533,0.679583,0.052122,0.904185,0.825191,0.665971,1.312667,0.641454,0.479057,0.541007,0.857693,0.681522,0.901090,0.738773,0.367783,0.430108,pentatonic_no_theory,20,1500,A4
